Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,WorkHoursPerWeek,AnnualBonus
Bachelors,2013,Bangalore,3,22.0,Female,Yes,0,0,53.55527884179041,15187.438524793442
Bachelors,2016,Bangalore,3,,Male,No,2,0,35.990213464750795,14470.63966465065
Bachelors,2015,Bangalore,3,23.0,Male,No,1,0,45.42703315240835,9058.388847319871
Bachelors,2013,Pune,2,31.0,Female,No,2,1,47.772437065861276,8731.876831087655
Masters,2017,New Delhi,2,,Female,No,2,0,31.393512381599933,19130.87329232893
PHD,2013,New Delhi,3,25.0,Male,No,3,0,48.226345557043146,9474.08681351184
Bachelors,2014,Bangalore,3,23.0,Male,No,1,0,35.115723710618745,16632.579450784993
Bachelors,2018,Bangalore,3,26.0,Male,No,4,1,31.951547789558386,10896.826973106188
Bachelors,2016,Bangalore,3,,Male,No,5,0,58.466566117599996,7088.81106177056
Bachelors,2017,Pune,2,37.0,Female,No,0,1,58.96896099223678,5160.729465430384
Bachelors,2014,Bangalore,1,30.0,Female,No,3,0,54.25192044349383,13163.860055228763
Bachelors,2012,New Delhi,3,29.0,Male,No,3,0,39.13841307520112,19636.682278233988
Bachelors,2018,New Delhi,2,34.0,Female,No,0,1,32.93016342019152,10537.042907138068
Bachelors,2017,Pune,2,29.0,Female,No,2,1,50.52699079536471,10357.885009895672
Bachelors,2014,Pune,3,30.0,Male,Yes,4,0,43.20457481218804,10161.37426774163
Bachelors,2015,Bangalore,3,36.0,Male,No,1,0,33.66114704534336,12808.157559572875
Masters,2017,New Delhi,2,23.0,Male,No,1,0,44.85530730333811,11609.973251364403
Bachelors,2013,Bangalore,3,30.0,Male,No,3,1,31.031655633456552,18198.71940090522
Bachelors,2014,Bangalore,3,36.0,Male,No,0,0,57.27961206236346,12582.811875852354
Bachelors,2015,Pune,3,39.0,Male,No,4,0,37.763399448000506,12616.36757282853
Bachelors,2014,Bangalore,3,23.0,Female,No,1,0,49.875668530619464,7075.573920808349
PHD,2012,New Delhi,3,27.0,Male,No,5,0,39.35133228268233,19741.093113655792
Masters,2013,New Delhi,3,35.0,Male,No,2,0,45.602040635334326,8749.593363032445
Masters,2017,New Delhi,2,34.0,Male,No,0,0,46.40130838029839,6100.46101189404
Bachelors,2013,Bangalore,3,30.0,Female,No,1,0,35.54563366576581,14947.193734628132
PHD,2017,New Delhi,3,34.0,Male,No,2,0,59.08753883293676,13930.49555235309
Bachelors,2015,Pune,2,26.0,Female,No,4,1,53.253984700833435,11227.184809891187
Bachelors,2016,Bangalore,3,34.0,Female,No,0,0,58.18496824692568,11332.88350821017
Bachelors,2014,Bangalore,3,31.0,Female,Yes,5,0,56.844820512829465,16775.958815696467
Bachelors,2017,New Delhi,3,31.0,Female,Yes,5,0,47.93699936433255,7935.689601494736
PHD,2013,New Delhi,3,28.0,Male,No,2,0,57.6562270506935,17303.799784173345
Bachelors,2016,Bangalore,3,38.0,Male,No,2,0,32.65477506155759,14731.206708425272
Masters,2014,Pune,3,39.0,Female,No,2,0,35.87948587257436,11284.546606692866
Bachelors,2013,Pune,3,32.0,Male,No,4,0,31.35681866731614,11870.42924875803
Masters,2017,Pune,2,36.0,Male,No,2,1,39.75990992289793,8849.708107791437
Masters,2013,New Delhi,3,29.0,Male,No,3,0,41.66031869068446,16281.714990454622
Bachelors,2015,Bangalore,3,,Male,No,5,0,38.14047095321688,12693.121134579016
PHD,2013,Bangalore,2,25.0,Male,No,3,1,54.86212527455788,9812.818141247655
Bachelors,2014,Pune,1,22.0,Female,No,0,1,40.702599800807675,13940.751736414253
Bachelors,2016,Bangalore,3,34.0,Male,No,4,0,38.42803529062142,19936.016780769845
Bachelors,2018,Bangalore,3,40.0,Male,No,1,1,46.28088249474746,11528.934194848309
PHD,2013,Bangalore,3,26.0,Male,No,4,0,34.227726749242876,18810.371011679294
Bachelors,2014,New Delhi,3,28.0,Male,No,0,0,54.06590942262119,10175.252598868492
Bachelors,2015,Bangalore,3,24.0,Female,No,2,0,32.23651931039313,5820.990603874789
Masters,2017,Bangalore,3,,Female,No,2,1,59.60660809801552,8063.631595526433
Bachelors,2018,Bangalore,3,,Female,No,1,1,53.16734307889972,11280.427149915264
Masters,2017,Bangalore,3,31.0,Male,No,4,0,35.961470446025174,8294.523928918536
Bachelors,2014,Pune,3,25.0,Female,No,3,0,30.165663513708072,5003.405573273833
Bachelors,2014,Bangalore,1,27.0,Male,No,5,0,54.463842853645026,18725.02306621291
Masters,2017,New Delhi,2,25.0,Female,No,3,1,51.205720315428515,17658.191168463934
Bachelors,2015,Bangalore,3,40.0,Male,No,0,1,51.87021504122962,16134.383472304207
Bachelors,2014,Bangalore,1,23.0,Female,No,1,0,53.13811040057837,7517.218934690429
Bachelors,2017,Bangalore,3,23.0,Female,No,1,0,32.22133955202271,6805.453643149791
Bachelors,2012,Bangalore,3,39.0,Male,No,1,0,40.75397185632818,6014.071242085747
PHD,2015,New Delhi,1,,Male,No,1,0,33.47607178575389,15860.437831593817
Bachelors,2017,Pune,3,38.0,Male,No,2,0,55.89310277626781,18932.11941031828
Bachelors,2013,Bangalore,3,31.0,Female,No,0,1,48.69894380482674,11458.037313695555
Bachelors,2016,Bangalore,3,38.0,Male,No,5,0,39.92694074557947,6787.110079940722
Bachelors,2017,Bangalore,3,25.0,Female,No,3,0,31.90675050858071,12685.892310981599
Bachelors,2015,Bangalore,3,27.0,Female,Yes,5,1,39.329469651469864,10232.47861187945
Bachelors,2016,Pune,2,36.0,Male,No,0,1,39.755499660802414,10622.373865249965
Bachelors,2017,Pune,2,27.0,Female,No,5,1,51.888185350141924,14319.959362335609
Masters,2015,Pune,2,32.0,Female,No,4,0,49.12672414065639,15780.771698933035
Bachelors,2014,Bangalore,3,28.0,Male,No,4,0,56.616382277289794,6659.053983097413
Masters,2012,New Delhi,3,32.0,Male,No,2,0,44.16644775485848,5533.853462097146
Bachelors,2018,Bangalore,3,30.0,Male,No,0,1,33.58782737814905,19914.954540285726
Bachelors,2015,New Delhi,3,22.0,Male,No,0,0,51.39734361668985,8490.925233733276
Bachelors,2017,New Delhi,2,34.0,Female,No,5,0,52.82355145850693,5807.457873626886
Masters,2013,New Delhi,3,36.0,Male,No,2,0,46.83831592708489,7848.1299364388
Bachelors,2014,Bangalore,3,39.0,Male,No,3,1,53.12901539863683,5584.367695226963
PHD,2018,Bangalore,3,26.0,Male,No,4,1,44.81386789093172,10877.163419257575
Bachelors,2016,Bangalore,3,31.0,Female,No,0,0,45.681984881459826,17036.026766769864
Bachelors,2014,Bangalore,3,27.0,Male,,5,1,42.82623055075649,10118.666746365809
Bachelors,2014,Bangalore,3,29.0,Female,No,0,0,30.762573802322855,11662.751103175498
Bachelors,2015,Bangalore,3,24.0,Female,No,2,1,33.23674280979913,15133.801603511582
Masters,2012,Pune,3,,Male,No,3,1,30.942875570602027,12633.411051048202
Bachelors,2013,Pune,3,25.0,Male,No,3,0,49.09231233791341,17921.685290319863
Masters,2017,New Delhi,3,26.0,Female,No,4,1,39.4306794322898,17990.535125686347
Bachelors,2015,Pune,2,28.0,Female,Yes,1,1,45.25712073494108,5148.660432367305
Bachelors,2017,New Delhi,3,28.0,Male,No,2,0,57.22699421778279,16670.694597247988
Masters,2015,Pune,1,28.0,Female,No,3,1,37.478766874466245,11911.004003625108
Masters,2015,New Delhi,3,25.0,Male,No,3,0,42.31148769106889,19832.608119554945
Bachelors,2017,Bangalore,3,28.0,Male,No,1,0,52.66653415629146,12248.481138131527
Masters,2013,Pune,3,25.0,Male,No,3,0,36.863944964748676,19803.43918082446
Bachelors,2015,Bangalore,2,25.0,Female,No,3,1,32.30939729486379,16318.54041808605
Bachelors,2015,Bangalore,3,27.0,Female,No,5,0,38.69254358741304,8729.073269199595
Bachelors,2017,Pune,2,27.0,Female,No,5,1,34.83663861762013,13075.924689304366
Bachelors,2013,Bangalore,3,27.0,Male,No,5,1,57.890929570277194,19882.03459217874
Bachelors,2012,Bangalore,3,25.0,Male,No,3,0,54.24361138693251,17862.959116278857
Masters,2017,New Delhi,2,28.0,Male,No,2,0,49.002112695312704,6460.503406868316
Bachelors,2014,Pune,1,26.0,Female,No,4,1,56.143817705631534,15595.579952149941
Bachelors,2015,Bangalore,3,28.0,Male,No,2,0,54.110162306973436,10183.693788062195
Masters,2013,New Delhi,3,26.0,Male,No,4,0,35.597101766581076,5104.733928205222
Bachelors,2017,Bangalore,3,26.0,Female,No,4,0,56.77676995469933,11052.214535404994
Bachelors,2017,New Delhi,2,25.0,Male,No,3,0,46.180267257469524,8521.31632587457
Bachelors,2012,Bangalore,1,28.0,Female,No,3,0,54.22320465492187,17283.039057807073
PHD,2015,New Delhi,3,26.0,Male,No,4,0,56.8827389977048,10059.959132686483
Bachelors,2015,New Delhi,3,25.0,Female,No,3,0,39.54010424915592,17412.855409307256
Bachelors,2012,Bangalore,3,26.0,Male,No,4,1,33.3015577358303,5008.9690825219295
Bachelors,2014,Bangalore,3,28.0,Female,No,3,0,36.83805487625825,9617.287250391786
Masters,2014,Pune,3,24.0,Male,No,2,0,42.81323365878769,8617.478214616429
Bachelors,2013,Bangalore,3,28.0,Male,No,1,0,54.54044297767479,8503.510416029165
Bachelors,2015,Pune,3,27.0,Male,No,5,0,55.82191749769031,6022.7992964819405
Bachelors,2018,Bangalore,3,25.0,Male,No,3,1,30.20856391593572,7806.864056157526
Masters,2013,Pune,1,24.0,Male,No,2,1,45.32241907732697,13333.243548284298
Bachelors,2017,Bangalore,3,26.0,Female,No,4,0,42.52233009446337,9370.416092566167
Bachelors,2013,Bangalore,3,28.0,Male,,1,1,36.66323431412191,11260.92173493722
Masters,2016,New Delhi,3,27.0,Male,No,5,0,33.595961020010485,10653.003205207828
Masters,2017,Bangalore,3,26.0,Male,No,4,0,40.12845514210884,18138.57387499842
Masters,2017,New Delhi,2,24.0,Male,No,2,0,58.287291117375574,18579.48498515773
Masters,2018,New Delhi,3,,Male,No,4,1,39.696087960622656,12394.3545748379
Masters,2017,New Delhi,1,25.0,Female,No,3,1,45.563718652300985,9952.339254734066
Bachelors,2012,Pune,3,28.0,Male,No,2,0,51.090568766855334,6602.010560035455
Bachelors,2017,New Delhi,3,28.0,Male,No,2,0,40.90888807137882,19301.043190731427
Bachelors,2013,Bangalore,3,26.0,Male,No,4,0,59.15346248162882,5903.404173504462
Masters,2013,New Delhi,3,27.0,Male,No,5,1,58.87341884826334,9464.754163524207
Bachelors,2017,Pune,2,24.0,Female,No,2,1,37.553468874760924,9470.993017550063
Bachelors,2017,New Delhi,3,28.0,Female,No,2,0,44.91745517677156,9806.019292103225
Bachelors,2016,Bangalore,3,26.0,Male,No,4,0,39.02634929450309,7464.302649086139
Bachelors,2013,Bangalore,3,27.0,Female,No,5,0,38.54521483132403,16747.421463855455
Masters,2015,Pune,2,28.0,Female,No,3,0,31.106608420635983,6837.467929489838
Bachelors,2014,Bangalore,3,25.0,Male,No,3,0,48.286930019396905,14523.599887297441
Bachelors,2016,Pune,3,28.0,Male,No,1,0,45.08037069686584,6857.690400587262
Masters,2013,Bangalore,1,25.0,Male,No,3,1,31.54436253749968,6058.034563894348
Bachelors,2015,Pune,3,26.0,Male,No,4,0,38.359393927098346,18641.442555288148
Bachelors,2018,New Delhi,3,27.0,Female,No,5,1,57.24797657899961,7851.931494780585
Bachelors,2016,Bangalore,3,24.0,Male,No,2,1,37.186856720009175,17318.752318395564
Bachelors,2012,Pune,2,24.0,Female,No,2,1,34.346846162736696,13169.463066607037
Bachelors,2014,Bangalore,3,26.0,Male,No,4,0,44.68358280832689,6167.847794131544
Bachelors,2016,Pune,2,24.0,Female,No,2,1,59.56951362331802,19331.72287157101
Masters,2012,New Delhi,3,26.0,Female,No,4,0,37.26165814534501,8704.417504878387
Bachelors,2013,Bangalore,3,28.0,Female,No,3,0,50.16406642217636,17894.6801802891
Bachelors,2012,Bangalore,3,,Male,No,2,1,52.84858845986153,7532.150086768463
Bachelors,2015,Bangalore,3,25.0,Male,No,3,1,37.12912631977199,17809.143232127793
Bachelors,2016,Bangalore,3,28.0,Male,No,3,0,51.84649045835579,5198.43219357941
Bachelors,2014,Bangalore,3,28.0,Female,No,3,0,41.03349398157759,12676.70684854221
Bachelors,2013,Bangalore,3,26.0,Female,No,4,0,48.96917491780738,16541.63869132335
Masters,2017,New Delhi,3,24.0,Female,No,2,1,49.00589132282684,19021.93276239175
Bachelors,2016,Bangalore,3,25.0,Male,No,3,1,46.073240522242756,18638.032043097308
Bachelors,2015,Bangalore,3,25.0,Male,No,3,0,32.70869310163225,17294.373043214673
Bachelors,2014,Bangalore,3,27.0,Male,No,5,0,55.05907486767714,18322.870244919563
Bachelors,2012,Bangalore,3,24.0,Male,No,2,0,39.623401949152075,7988.295287556148
Bachelors,2014,Bangalore,3,25.0,Male,No,3,0,35.595555311995625,9262.76443567593
Bachelors,2015,Bangalore,3,28.0,Male,No,3,0,31.223254246642917,9334.527873815878
Masters,2015,New Delhi,3,26.0,Male,No,4,1,47.72678829564725,10655.808965025482
Bachelors,2014,New Delhi,3,28.0,Female,No,1,0,50.32693085526847,10899.81005577783
Bachelors,2015,Pune,3,25.0,Male,No,3,0,30.497634867835686,13168.329869820132
Masters,2015,Pune,2,28.0,Female,No,2,0,45.36279174897843,7398.196450496621
Bachelors,2014,Bangalore,3,27.0,Female,,5,0,36.79487325593814,15368.69995678984
Bachelors,2013,Bangalore,3,26.0,Male,No,4,0,49.35518371228349,7513.498089567597
Bachelors,2016,Bangalore,3,26.0,Male,No,4,0,35.23099287014974,9654.627231568213
Bachelors,2012,Bangalore,3,25.0,Male,No,3,0,50.72813214307398,12550.17695909231
Bachelors,2015,Bangalore,3,25.0,Male,No,3,0,41.602060389016124,16946.608422852158
Bachelors,2014,New Delhi,3,24.0,Female,No,2,0,58.101899662102035,16092.038498580909
Bachelors,2012,Bangalore,3,,Male,No,5,1,34.1256283243798,14683.015346157834
Masters,2017,New Delhi,3,27.0,Male,No,5,1,40.231990531507755,7336.598908702552
Bachelors,2015,Pune,3,27.0,Male,No,5,0,33.40420563721767,13205.680184233666
Bachelors,2018,Bangalore,3,24.0,Male,No,2,1,57.74080854835688,6311.697526998281
Masters,2017,New Delhi,3,27.0,Male,No,5,1,56.32018060142943,10660.447651949762
Masters,2017,New Delhi,2,28.0,Female,No,1,1,37.73824883145467,11202.747954349386
Masters,2017,Pune,2,24.0,Male,No,2,1,49.79952138102537,5597.171591686308
Masters,2016,New Delhi,3,25.0,Female,No,3,1,54.51666600603647,9109.821492049578
PHD,2015,New Delhi,3,28.0,Female,No,1,0,46.65602434798387,19334.74200899734
Bachelors,2017,New Delhi,2,26.0,Male,No,4,0,45.889517350680194,19304.489117445344
Bachelors,2013,Bangalore,2,27.0,Male,No,5,0,37.255568727013554,10284.90581378809
Bachelors,2015,Bangalore,3,26.0,Male,No,4,0,32.79308303417697,5646.501634224861
Bachelors,2015,Bangalore,3,26.0,Male,No,4,0,56.91647273859981,7686.424089922723
Bachelors,2013,Bangalore,3,28.0,Male,No,1,0,57.01254171489991,10883.266901503102
Bachelors,2015,Bangalore,3,27.0,Female,No,5,0,48.99304371819804,19216.69546953845
Bachelors,2013,New Delhi,3,25.0,Female,No,3,0,40.17089373146102,7117.985953057774
Bachelors,2013,Pune,3,28.0,Male,No,1,0,40.476287238379825,16452.737655023186
Bachelors,2017,Pune,3,24.0,Male,No,2,0,51.77867036610718,6630.238090620382
Bachelors,2013,New Delhi,3,27.0,Female,No,5,0,56.913307798577314,19718.863660869152
Bachelors,2015,Bangalore,3,28.0,Male,Yes,2,0,56.61259272795352,10724.247486637025
Bachelors,2015,Pune,3,,Male,No,3,0,53.396266375728715,16628.51808348584
Bachelors,2014,Pune,2,25.0,Female,No,3,1,49.26094938462863,10138.866242166976
Bachelors,2014,Bangalore,3,25.0,Male,No,3,0,32.52419894985147,14415.033157382131
Bachelors,2017,Bangalore,3,27.0,Male,No,5,0,34.84886142283841,7880.241271100551
Bachelors,2014,Pune,2,26.0,Female,No,4,1,56.956625655812374,7190.315289454438
PHD,2013,New Delhi,3,24.0,Male,No,2,0,48.1928717897877,19070.962093521972
Bachelors,2015,Pune,2,26.0,Female,No,4,1,30.27591154849889,18764.7091685665
Bachelors,2017,Bangalore,3,25.0,Male,No,3,0,33.044146285980965,18312.034103193233
Masters,2013,Pune,2,27.0,Male,No,5,1,49.905053073241675,14381.501752498902
Masters,2017,Bangalore,3,28.0,Male,No,2,0,30.15184751538656,17124.023168244174
Bachelors,2012,Bangalore,3,25.0,Male,No,3,1,34.82424154252496,6035.554053670624
Bachelors,2017,Bangalore,3,27.0,Male,No,5,0,46.462013680997586,10021.835628360186
Masters,2017,Pune,2,27.0,Female,No,5,0,50.7568559307808,9705.546871357343
Masters,2013,Bangalore,2,28.0,Female,No,2,1,49.55883778507801,14534.679829289198
Masters,2017,Pune,3,28.0,Male,No,1,1,36.7280792838168,10339.366602059607
Bachelors,2018,Bangalore,3,27.0,Female,No,5,1,51.36537664042608,7227.601724655212
Bachelors,2014,New Delhi,3,25.0,Female,No,3,0,37.117472624904,13947.006131203156
Masters,2017,New Delhi,3,27.0,Male,No,5,1,39.761990944778034,17215.758810036223
Masters,2013,New Delhi,3,26.0,Male,No,4,1,52.394742153540726,10731.852416899597
Bachelors,2013,Pune,2,25.0,Female,No,3,1,49.48898697141644,6984.0307264772255
Masters,2012,New Delhi,3,26.0,Male,No,4,1,55.47670231482534,7950.322959692346
Bachelors,2016,Bangalore,3,25.0,Male,No,3,1,49.7283867690103,8562.249577540759
Bachelors,2013,Pune,2,26.0,Male,No,4,0,47.04925810006415,9498.463894918044
Bachelors,2018,Bangalore,3,28.0,Female,No,2,1,32.81024303484278,14641.926057594637
Bachelors,2013,Bangalore,3,27.0,Male,No,5,0,41.031474091783004,14014.182268065786
Bachelors,2015,Pune,1,24.0,Female,Yes,2,1,37.95607103045177,15441.197923505588
Bachelors,2013,Pune,3,28.0,Male,No,2,0,37.319689301372506,10437.529767972697
Bachelors,2015,Pune,2,27.0,Female,Yes,5,1,59.190316642573364,17359.964778199675
Bachelors,2018,Bangalore,3,,Male,No,3,1,41.792931740002814,8061.314917336404
Bachelors,2014,Pune,2,27.0,Female,No,5,1,56.7613966553134,12035.61121277231
Bachelors,2013,Pune,3,24.0,Male,No,2,0,48.93415877991789,17014.080823121454
Bachelors,2014,Pune,3,,Male,No,2,0,53.84433910624945,7702.379715989289
PHD,2015,New Delhi,2,25.0,Female,No,3,0,45.079112793155765,6647.946706111744
Bachelors,2014,Bangalore,3,26.0,Male,Yes,4,0,47.30711653879077,18255.259515319845
Bachelors,2018,Bangalore,3,24.0,Male,No,2,1,44.77553081456592,10143.944941387937
Masters,2015,Pune,2,25.0,Female,No,3,0,35.857289633941335,15258.05187363548
Bachelors,2015,Bangalore,3,24.0,Male,No,2,0,51.67356345784516,5380.229063959077
Bachelors,2014,New Delhi,3,24.0,Female,No,2,0,38.42317087322567,15350.703326141744
Masters,2017,Bangalore,2,26.0,Female,No,4,1,30.729478992943616,9741.519673204559
Bachelors,2012,New Delhi,3,28.0,Male,No,1,0,49.364168877215036,5836.112803811626
Masters,2017,Pune,2,26.0,Female,No,4,0,35.31332038221147,14147.191423221755
Bachelors,2016,Pune,3,,Male,No,3,0,58.21375753058743,8612.057241097598
Bachelors,2017,New Delhi,3,24.0,Male,No,2,1,58.617857310077625,10802.108630778199
Bachelors,2013,Pune,2,28.0,Female,No,3,1,57.44593170661346,6208.712184297704
Bachelors,2014,Bangalore,3,25.0,Female,No,3,1,41.10476100766333,7207.44876642418
Bachelors,2014,Bangalore,3,25.0,Male,No,3,0,30.463698495866023,9469.658532437657
Bachelors,2014,Pune,2,24.0,Female,No,2,1,57.84955687763176,6346.392508402357
Bachelors,2015,Bangalore,3,28.0,Male,No,2,1,42.84552444951943,18662.39397029473
Bachelors,2015,Bangalore,3,27.0,Male,No,5,0,58.999644571310085,5090.705647759676
Bachelors,2016,Pune,3,26.0,Male,No,4,0,58.90859931267758,12257.903282964671
Masters,2015,New Delhi,3,26.0,Female,No,4,1,55.5902836640208,6848.711871988272
Bachelors,2016,Bangalore,1,28.0,Female,No,2,0,38.83346676208757,9615.186342169229
Bachelors,2014,Bangalore,3,25.0,Male,Yes,3,0,41.55293185805776,18890.893397273983
Bachelors,2014,Bangalore,3,,Male,No,5,0,55.534100145505704,7425.418299109802
Bachelors,2017,Bangalore,3,28.0,Male,No,2,0,39.50766015468833,19487.484795774988
Masters,2018,New Delhi,3,24.0,Female,Yes,2,1,35.084782400582775,8086.915654841326
Bachelors,2017,Pune,2,25.0,Male,No,3,0,46.70403787375051,16123.491627002444
Bachelors,2018,Pune,2,24.0,Female,No,2,1,58.08464322482343,13200.158973459676
Masters,2017,New Delhi,2,28.0,Female,No,1,0,50.88089390024919,18267.180913951386
Bachelors,2013,New Delhi,1,27.0,Female,No,5,0,47.10183510268095,13309.898832546964
Bachelors,2017,New Delhi,2,27.0,Female,No,5,0,32.915294813123054,13018.388287344631
Bachelors,2017,Bangalore,3,28.0,Male,No,1,0,48.45021680097509,7931.870005525998
Bachelors,2016,Pune,2,27.0,Female,No,5,1,59.7016155031279,7493.440430774881
Masters,2018,Bangalore,3,24.0,Male,No,2,1,34.20252045709572,18747.337266732713
Bachelors,2012,Pune,1,26.0,Male,No,4,0,45.5498895709121,9917.572982750511
Bachelors,2016,Bangalore,3,26.0,Male,No,4,0,56.32119215783867,10581.23382444344
Masters,2016,New Delhi,1,27.0,Male,No,5,0,52.22305853262613,16397.354876425827
Bachelors,2015,New Delhi,3,26.0,Female,No,4,0,50.910472229858044,10082.35223634211
Bachelors,2012,Bangalore,3,27.0,Male,Yes,5,0,51.07452251961328,19280.936699585043
Bachelors,2013,Bangalore,3,24.0,Male,Yes,2,1,40.78473453659265,16068.916534982005
Bachelors,2018,Bangalore,3,26.0,Female,No,4,1,38.8077553279348,13961.4386386013
Masters,2017,Pune,2,26.0,Female,No,4,1,54.28083466435541,18213.427408171287
Masters,2017,New Delhi,2,28.0,Female,No,2,0,54.30340184037542,5744.0886252422415
Bachelors,2013,Pune,3,28.0,Male,No,1,0,56.01216955740311,8855.940382838131
Masters,2013,New Delhi,3,25.0,Male,No,3,0,57.397216576694134,11975.54501331365
Bachelors,2018,Bangalore,3,28.0,Female,Yes,1,1,45.34027196582814,8404.678092072816
Bachelors,2013,Pune,3,27.0,Female,No,5,1,45.04548884061599,16158.577809532278
Bachelors,2012,Bangalore,3,25.0,Male,No,3,0,53.948855369003255,18788.120465805878
Bachelors,2014,Bangalore,3,28.0,Male,No,1,0,49.498917923332954,11356.55179896385
Bachelors,2017,New Delhi,3,28.0,Female,No,3,0,51.059006317731104,10131.989001678423
Masters,2017,New Delhi,2,28.0,Male,Yes,2,0,53.873780083083034,19423.260982063493
Bachelors,2014,Bangalore,3,25.0,Male,No,3,0,56.70016025452699,11672.786492413114
Masters,2017,New Delhi,3,26.0,Male,No,4,0,40.13985470554607,12335.726006739249
Bachelors,2015,Pune,1,25.0,Female,No,3,1,41.26748857919832,10274.74808512858
Masters,2013,New Delhi,3,27.0,Male,No,5,0,32.81945819522607,18643.227095182076
PHD,2014,Bangalore,3,24.0,Female,No,2,0,47.34840422988522,13534.332249227762
Masters,2017,New Delhi,2,27.0,Female,No,5,0,31.078268213902263,16432.61880772467
Bachelors,2018,Bangalore,3,26.0,Male,No,4,1,43.9679405439738,17177.100775263294
Bachelors,2012,Bangalore,3,26.0,Male,No,4,0,46.2793390412273,10127.735628758874
Masters,2015,Pune,3,27.0,Female,No,5,1,38.59623756384853,11505.4149698057
Bachelors,2018,Bangalore,3,26.0,Male,No,4,1,47.724997817070324,17727.076616093967
Bachelors,2016,Bangalore,3,24.0,Male,No,2,0,30.915007498171484,10448.830275137154
Masters,2017,New Delhi,2,,Female,No,3,0,31.12044566247643,16909.02700177777
Bachelors,2017,New Delhi,2,28.0,Male,No,1,0,54.67801681978975,19114.884838616555
Bachelors,2012,New Delhi,3,27.0,Female,No,5,0,40.80571924233789,14348.155596020104
Masters,2013,New Delhi,3,26.0,Male,No,4,1,33.81181537955654,16124.409311778334
Bachelors,2015,Bangalore,3,26.0,Female,Yes,4,1,45.66729780164413,17076.459680617023
Bachelors,2014,Pune,3,,Male,No,2,0,53.09980659295832,17675.594733449638
Bachelors,2016,Bangalore,3,,Female,No,2,1,36.4746308249053,10925.800067851938
Bachelors,2012,Bangalore,3,28.0,Male,No,3,0,48.68671427457001,5768.9518876399725
Bachelors,2012,Bangalore,3,27.0,Male,No,5,0,32.56042394981304,11028.144068551093
Bachelors,2013,Bangalore,3,26.0,Male,No,4,0,31.55045163505823,15106.343446761346
Bachelors,2014,New Delhi,3,28.0,Female,No,1,0,45.94063894704444,11755.255786711892
Bachelors,2014,New Delhi,3,27.0,Female,Yes,5,0,46.219053648303195,16234.447262905978
Bachelors,2015,Pune,3,26.0,Female,Yes,4,1,49.1228970449462,10354.736442029958
Masters,2014,New Delhi,3,26.0,Male,No,4,1,51.78274001167985,14521.162116560443
PHD,2015,New Delhi,3,25.0,Female,No,3,0,59.275562383876036,7796.297072809619
Masters,2015,New Delhi,3,25.0,Male,No,3,0,45.48901044903586,16240.541549674354
Bachelors,2012,Pune,3,27.0,Male,No,5,0,39.68869418823738,13185.439532195389
